X,Y,class
1.046318561,0.827984746,1
1.402901071,0.701358463,1
1.105753614,0.729752352,1
0.622753965,0.680755745,1
1.257972471,0.632154447,1
1.167277783,1.382429858,1
1.282898742,1.275768561,1
1.013723466,1.60547996,1
0.887322723,1.264449651,1
1.508824167,0.944724588,1
0.778165688,1.007180625,1
0.777797485,0.603965582,1
1.116585204,0.928010571,1
1.107857923,0.976406748,1
1.361750287,1.111949326,1
0.76666152,1.338733298,1
1.038835796,0.715585646,1
1.277035504,0.523328737,1
1.087461867,1.344686651,1
1.003057151,0.670604071,1
1.266390165,0.647951246,1
0.856465781,1.245807705,1
1.087630405,0.969044272,1
0.868756136,0.842350107,1
0.906196399,1.050977987,1
-1.119252527,-0.819305261,1
-0.309405223,-1.317160298,1
-1.054361433,-0.528008843,1
-0.276091403,-0.8280201,1
-1.304098328,-0.911685535,1
-1.329664818,-0.452670946,1
-1.129277518,-0.437068796,1
-0.910999102,-1.310287487,1
-0.874713852,-1.699199305,1
-1.657690138,-0.822082863,1
-1.109094584,-1.213180281,1
-1.004169415,-1.29084892,1
-0.592022435,-0.994631925,1
-1.077820897,-1.20237804,1
-1.214014657,-0.830964556,1
-0.82077257,-0.494785972,1
-0.783468581,-0.981110027,1
-1.09201769,-1.430158335,1
-0.89504909,-1.351984581,1
-0.900382869,-0.879650381,1
-1.259073495,-0.775039027,1
-0.894076204,-0.751347934,1
-1.274136822,-0.779438189,1
-1.110313067,-1.324345506,1
-1.064890138,-1.039264734,1
-0.43818904,1.000527338,-1
-1.258010595,0.93895435,-1
-0.469412746,1.244604966,-1
-1.201641858,0.867981859,-1
-0.857082491,0.791571194,-1
-0.653117215,0.841928199,-1
-1.140206004,1.152717969,-1
-1.453172342,1.209274551,-1
-0.718746802,0.775258145,-1
-1.051059764,1.413889265,-1
-0.727831079,1.279104734,-1
-0.545521804,0.90491893,-1
-1.359037117,0.879343445,-1
-1.199629271,0.62815655,-1
-1.022259133,0.834628276,-1
-0.781045198,0.936868289,-1
-1.015420619,0.8300179,-1
-1.24421146,0.760745239,-1
-0.537504665,0.625789732,-1
-0.773862835,0.741617718,-1
-0.789048903,0.791491533,-1
-1.331544542,1.005081359,-1
-0.885219437,1.238280974,-1
-1.174149836,0.86400678,-1
-1.590192749,1.17783034,-1
0.975323843,-0.970407448,-1
0.75147705,-1.079793939,-1
1.193470043,-0.722391982,-1
0.883012419,-1.127859177,-1
0.664975203,-0.934473588,-1
0.801262174,-0.769562666,-1
1.119654331,-1.357073104,-1
0.542315795,-0.975766082,-1
1.208479824,-1.637121764,-1
1.340083102,-0.50728205,-1
1.781149658,-1.174486958,-1
1.113615565,-1.158079024,-1
1.307788161,-0.748570509,-1
0.436823649,-0.624763986,-1
1.274445521,-1.345244058,-1
0.829347364,-0.671600676,-1
1.443178846,-0.592054118,-1
1.136610931,-1.067088864,-1
0.805551135,-1.365302134,-1
0.763962456,-0.883595689,-1
1.088741802,-0.519860723,-1
1.324122716,-1.459946366,-1
0.643810269,-1.49920155,-1
1.106895082,-1.081446654,-1
1.270532566,-1.582330059,-1
