X,Y,class
1.293015035,0.703971264,1
0.978957857,0.589753108,1
0.69077545,1.502488283,1
1.554898251,1.256717443,1
1.191716955,0.712862847,1
1.019976671,0.94259575,1
0.822515847,1.064318813,1
0.925240673,1.421982633,1
1.075638653,0.697231688,1
1.166755419,0.955965764,1
0.855653,0.774451749,1
1.019253451,0.385611138,1
1.039128117,0.469744503,1
0.802272266,0.797206188,1
1.309838374,1.423366351,1
1.24990855,0.893624027,1
1.459876123,1.028953389,1
1.151079289,1.218488682,1
0.127609466,0.838087209,1
0.784199949,0.939692812,1
1.12904904,0.947583166,1
1.023580124,0.929201938,1
1.204271474,1.15991031,1
1.186856437,1.044795836,1
1.107175149,1.405683947,1
1.769830863,1.937602466,1
1.941762375,2.679630667,1
1.829540401,2.229909725,1
1.931173518,1.944840911,1
2.050085001,2.055460266,1
2.106997974,2.607393597,1
2.113681423,1.85037739,1
2.329983361,1.85678886,1
1.960523465,2.225054201,1
1.61118241,2.415448542,1
2.052490577,2.020056087,1
2.130247035,1.639359106,1
1.783515447,1.891186992,1
2.137981388,1.832811552,1
2.148142612,1.718539355,1
1.863743367,2.47645317,1
2.095329155,1.913125391,1
1.689123024,1.838140918,1
1.49600156,1.731115939,1
2.034312177,1.805207353,1
1.720882817,1.96157202,1
1.760198205,1.572436324,1
2.15330123,2.208851223,1
2.208118492,2.634403539,1
2.138637611,2.002683885,1
2.71329879,2.828764812,1
2.363458806,3.25869315,1
2.857678243,3.270084646,1
2.825764849,3.218932081,1
3.614095802,3.136788865,1
3.158151585,2.885662701,1
2.616014763,2.783788011,1
3.189929678,2.752110975,1
3.052444437,2.782956916,1
3.157829472,2.977641952,1
3.014299244,2.891545748,1
2.865376705,2.903929719,1
3.060617183,2.494298958,1
2.862127725,2.691843954,1
2.993916318,2.717654566,1
3.160197294,3.074140214,1
3.128786151,2.988020717,1
3.247645331,2.946274861,1
3.227485291,3.059525077,1
2.862813482,3.397226901,1
2.562694976,3.18712217,1
2.972739872,3.091624143,1
3.435668376,2.873703711,1
3.058772637,3.138536996,1
2.789747707,3.040905061,1
4.162850439,2.054349406,1
4.308422723,1.991939658,1
4.283162671,1.839171334,1
4.475810451,1.445624915,1
4.1190263,2.154310049,1
3.75746838,1.806663927,1
3.69048522,1.590973982,1
3.794694698,2.301698591,1
4.461406853,1.983690208,1
4.265887525,2.420030896,1
3.477307083,2.355164604,1
4.234880679,1.692151201,1
3.81207722,2.089854484,1
3.200366768,1.94855824,1
