X,Y,class
2.275585169,3.563215868,1
3.781782485,5.283934111,1
5.154233081,5.823837228,1
2.593941546,3.540966559,1
2.342436359,4.394085734,1
3.569829622,2.537704416,1
4.120981099,3.299149079,1
2.455161046,4.409961477,1
3.24617937,3.297279858,1
3.546786634,4.295252001,1
4.744186698,4.980349888,1
3.991019841,3.20852706,1
2.890525411,3.388387653,1
2.426246557,3.814618787,1
3.861996031,3.708896444,1
3.89144931,3.302805611,1
4.869784055,3.700283521,1
4.086610835,3.652491586,1
4.243216641,4.027752515,1
3.472507551,4.799927367,1
2.774861293,4.148284498,1
3.983570294,4.325898675,1
4.954578977,4.337078666,1
2.740587002,4.202559591,1
4.863500058,4.503027176,1
5.135894374,4.301594398,1
3.366091542,4.217820153,1
4.888138799,3.640351388,1
0.546202325,4.423431724,1
4.217811685,3.831304167,1
3.477300227,4.221314331,1
4.902019583,4.814164528,1
6.212626201,3.484741281,1
3.012025445,3.775823139,1
3.403531339,3.838782266,1
5.424503938,3.923126176,1
4.719394465,2.461685411,1
3.375648148,3.940103784,1
2.689143468,4.494758825,1
4.858958355,4.529181782,1
4.074332006,4.97766624,1
4.920437535,1.553478397,1
3.254419329,4.122017508,1
4.081221318,6.190176705,1
4.911631432,4.287361288,1
5.166407607,3.675823411,1
2.574631743,5.668784332,1
2.128416178,5.220884135,1
3.716304508,4.545422495,1
4.015976759,3.080974294,1
5.07182016,5.79334465,1
3.143805907,4.966396913,1
4.934012905,5.629568859,1
3.224577362,5.165313837,1
4.609822639,3.202758567,1
3.981745974,4.59910115,1
5.561666735,4.516882229,1
4.676506853,4.627331468,1
4.937005522,4.056010336,1
6.171710148,3.265860332,1
3.168508742,4.568383107,1
5.022280527,4.464484625,1
4.275192697,2.36681277,1
4.56687971,5.525762838,1
3.626121961,3.718142672,1
3.517334527,3.673208107,1
3.544743322,3.423267225,1
3.052970176,3.684793163,1
3.417601474,4.999570594,1
2.84755979,4.114484023,1
3.06863904,3.481115848,1
4.984248828,3.799558927,1
5.830101738,4.209599542,1
4.371311771,3.018598061,1
4.43983729,4.826034013,1
5.569368628,5.310247857,-1
5.471850344,7.062829608,-1
4.980329543,7.306321266,-1
5.43031825,6.720175613,-1
6.403322345,4.871433385,-1
5.817926629,5.781082981,-1
5.610339075,4.022919301,-1
7.032080631,6.840914518,-1
5.164768399,5.079091094,-1
6.54229004,4.689612207,-1
6.806427058,6.174979967,-1
6.062642754,4.364502161,-1
5.639190462,5.574661362,-1
5.928775096,6.800548884,-1
7.172355904,5.950588806,-1
5.299269816,4.50154783,-1
6.850467026,8.859934195,-1
7.234704619,5.680528873,-1
5.849234416,7.515940742,-1
4.759456969,6.611997877,-1
6.55946939,5.415568205,-1
5.595151136,5.360036861,-1
8.111534764,4.558753802,-1
6.394404352,6.547915112,-1
6.177643326,8.176398503,-1
6.106719985,6.533482683,-1
6.159806621,4.890511314,-1
6.262650682,5.430747173,-1
7.222286779,7.078587001,-1
5.819182832,5.003224922,-1
5.604810984,7.125413114,-1
5.070199767,6.172580489,-1
6.761269994,6.004532075,-1
8.198626377,5.687656898,-1
7.256239459,7.443007608,-1
4.832642308,4.876020233,-1
5.625518708,5.666020931,-1
5.958955647,4.865462723,-1
5.959666344,5.815822471,-1
6.579626177,5.604163443,-1
4.845671065,2.878682064,-1
6.052270691,5.250048941,-1
6.360726413,5.884397608,-1
4.43971558,5.932896633,-1
5.128450876,4.901717347,-1
6.366000145,5.188947464,-1
6.349022178,6.558606738,-1
6.115643138,5.671675524,-1
5.029272801,6.829724818,-1
5.750028297,5.742294853,-1
7.074474797,6.083507998,-1
8.072770247,5.505242317,-1
5.211709573,8.574891002,-1
6.416259198,6.382149208,-1
6.294940345,6.406672486,-1
6.289752595,6.106121131,-1
5.422902369,6.987420518,-1
4.777392734,5.88880612,-1
6.407175824,6.513799569,-1
7.056481673,7.062575306,-1
5.068334359,5.294598632,-1
4.589277977,6.041170498,-1
5.993835166,7.167504824,-1
6.137956855,5.052813546,-1
4.575147724,5.442027285,-1
4.901002876,5.135046201,-1
5.893090508,5.441058558,-1
5.619847404,5.403626992,-1
5.329388105,5.460355169,-1
4.750843686,5.273885326,-1
4.216141262,6.874338608,-1
4.889852797,4.836488949,-1
5.41527193,7.075257329,-1
5.07209236,6.37261917,-1
6.00592585,6.063278224,-1
